Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2026-01-15,285A0,13150.0,13700.0,13125.0,13630.0,0.0,0.0,21908300.0,295263038500.0,1.0,13150.0,13700.0,13125.0,13630.0,21908300.0,13280.0,False
2026-01-16,285A0,13890.0,14790.0,13705.0,14750.0,0.0,0.0,36880600.0,530801241500.0,1.0,13890.0,14790.0,13705.0,14750.0,36880600.0,13630.0,False
2026-01-19,285A0,14300.0,15270.0,14230.0,15210.0,0.0,0.0,27534100.0,409637470500.0,1.0,14300.0,15270.0,14230.0,15210.0,27534100.0,14750.0,False
2026-01-20,285A0,15210.0,15670.0,14675.0,15205.0,0.0,0.0,31050200.0,471878315500.0,1.0,15210.0,15670.0,14675.0,15205.0,31050200.0,15210.0,False
2026-01-21,285A0,15570.0,16790.0,15565.0,16500.0,0.0,0.0,43316000.0,708435143000.0,1.0,15570.0,16790.0,15565.0,16500.0,43316000.0,15205.0,False
2026-01-22,285A0,18195.0,18490.0,17270.0,17910.0,0.0,0.0,41559800.0,742736003500.0,1.0,18195.0,18490.0,17270.0,17910.0,41559800.0,16500.0,False
2026-01-23,285A0,17500.0,17970.0,17090.0,17335.0,0.0,0.0,28588800.0,501527756500.0,1.0,17500.0,17970.0,17090.0,17335.0,28588800.0,17910.0,False
2026-01-26,285A0,17200.0,17875.0,17095.0,17450.0,0.0,0.0,29697700.0,517744741000.0,1.0,17200.0,17875.0,17095.0,17450.0,29697700.0,17335.0,False
2026-01-27,285A0,17495.0,18450.0,17400.0,18450.0,0.0,0.0,28112500.0,501441697500.0,1.0,17495.0,18450.0,17400.0,18450.0,28112500.0,17450.0,False
2026-01-28,285A0,18850.0,19525.0,18505.0,18945.0,0.0,0.0,34497200.0,656116715500.0,1.0,18850.0,19525.0,18505.0,18945.0,34497200.0,18450.0,False
2026-01-29,285A0,19800.0,20325.0,18635.0,19245.0,0.0,0.0,37021200.0,720227054500.0,1.0,19800.0,20325.0,18635.0,19245.0,37021200.0,18945.0,False
2026-01-30,285A0,20300.0,21610.0,20165.0,21360.0,0.0,0.0,46089200.0,971584935500.0,1.0,20300.0,21610.0,20165.0,21360.0,46089200.0,19245.0,False
2026-02-02,285A0,19860.0,21135.0,18350.0,18360.0,0.0,0.0,50445600.0,996226590500.0,1.0,19860.0,21135.0,18350.0,18360.0,50445600.0,21360.0,False
2026-02-03,285A0,19960.0,20995.0,19730.0,20785.0,0.0,0.0,38472000.0,782372519500.0,1.0,19960.0,20995.0,19730.0,20785.0,38472000.0,18360.0,False
2026-02-04,285A0,20770.0,21115.0,20180.0,20900.0,0.0,0.0,31616400.0,654468753500.0,1.0,20770.0,21115.0,20180.0,20900.0,31616400.0,20785.0,False
2026-02-05,285A0,19100.0,19875.0,18900.0,19530.0,0.0,0.0,34194000.0,664068461500.0,1.0,19100.0,19875.0,18900.0,19530.0,34194000.0,20900.0,False
2026-02-06,285A0,18700.0,19765.0,18280.0,19095.0,0.0,0.0,34703800.0,658449671500.0,1.0,18700.0,19765.0,18280.0,19095.0,34703800.0,19530.0,False
2026-02-09,285A0,20695.0,20710.0,18900.0,18900.0,0.0,0.0,28238500.0,565006985500.0,1.0,20695.0,20710.0,18900.0,18900.0,28238500.0,19095.0,False
2026-02-10,285A0,18870.0,19620.0,18505.0,18845.0,0.0,0.0,27156200.0,515109237500.0,1.0,18870.0,19620.0,18505.0,18845.0,27156200.0,18900.0,False
2026-02-12,285A0,19785.0,21175.0,19480.0,21175.0,0.0,0.0,35993800.0,734004049500.0,1.0,19785.0,21175.0,19480.0,21175.0,35993800.0,18845.0,False
2026-02-13,285A0,24400.0,24420.0,22050.0,22845.0,0.0,0.0,58426100.0,1344381605500.0,1.0,24400.0,24420.0,22050.0,22845.0,58426100.0,21175.0,False
2026-02-16,285A0,23030.0,23570.0,22300.0,22300.0,0.0,0.0,26902800.0,613672400000.0,1.0,23030.0,23570.0,22300.0,22300.0,26902800.0,22845.0,False
2026-02-17,285A0,22300.0,22635.0,21725.0,22370.0,0.0,0.0,19585700.0,433094065500.0,1.0,22300.0,22635.0,21725.0,22370.0,19585700.0,22300.0,False
2026-02-18,285A0,21800.0,21935.0,21300.0,21420.0,0.0,0.0,17719500.0,382370471500.0,1.0,21800.0,21935.0,21300.0,21420.0,17719500.0,22370.0,False
2026-02-19,285A0,22320.0,22750.0,21250.0,21250.0,0.0,0.0,24035000.0,525483171500.0,1.0,22320.0,22750.0,21250.0,21250.0,24035000.0,21420.0,False
2026-02-20,285A0,21270.0,21380.0,20190.0,20560.0,0.0,0.0,27254000.0,564564050500.0,1.0,21270.0,21380.0,20190.0,20560.0,27254000.0,21250.0,False
2026-02-24,285A0,21175.0,22780.0,21005.0,22270.0,0.0,0.0,32544900.0,717353322000.0,1.0,21175.0,22780.0,21005.0,22270.0,32544900.0,20560.0,False
2026-02-25,285A0,21650.0,22075.0,20890.0,21465.0,0.0,0.0,28552000.0,609019098000.0,1.0,21650.0,22075.0,20890.0,21465.0,28552000.0,22270.0,False
2026-02-26,285A0,21650.0,21990.0,20400.0,21240.0,0.0,0.0,28150500.0,594555802500.0,1.0,21650.0,21990.0,20400.0,21240.0,28150500.0,21465.0,False
2026-02-27,,20800.0,21335.0,20775.0,21210.0,,,19700000.0,,,,,,,,21240.0,
2026-03-02,,20700.0,21790.0,20630.0,21515.0,,,19765100.0,,,,,,,,21210.0,
2026-03-03,,21660.0,22465.0,19960.0,20200.0,,,35142600.0,,,,,,,,21515.0,
2026-03-06,,20000.0,20090.0,18965.0,19975.0,,,28463300.0,,,,,,,,20200.0,
2026-03-10,,20000.0,20060.0,19090.0,19570.0,,,30717700.0,,,,,,,,19975.0,
2026-03-11,,20605.0,21590.0,20565.0,21380.0,,,27693000.0,,,,,,,,19570.0,
2026-03-12,,21000.0,22345.0,20925.0,21245.0,,,35580800.0,,,,,,,,21380.0,
2026-03-13,,20245.0,21190.0,20125.0,21065.0,,,24786100.0,,,,,,,,21245.0,
2026-03-16,,21600.0,22630.0,21245.0,22615.0,,,34598000.0,,,,,,,,21065.0,
2026-03-17,,23280.0,23380.0,21400.0,21610.0,,,37429100.0,,,,,,,,22615.0,
2026-03-18,,22610.0,23410.0,22370.0,23390.0,,,40719000.0,,,,,,,,21610.0,
2026-03-19,,22900.0,23240.0,22080.0,22360.0,,,37245300.0,,,,,,,,23390.0,
2026-03-23,,21360.0,21835.0,20800.0,21465.0,,,37435300.0,,,,,,,,22360.0,
2026-03-24,,21800.0,22280.0,20025.0,21100.0,,,51140900.0,,,,,,,,21465.0,
2026-03-25,,21565.0,22445.0,21410.0,22445.0,,,34892500.0,,,,,,,,21100.0,
